date,ETH en EUR,12 days EMA,26 days EMA,MACD,Signal
24/08/15,1,,,,
25/08/15,1,,,,
26/08/15,1,,,,
27/08/15,1,,,,
28/08/15,1,,,,
29/08/15,1,,,,
30/08/15,1,,,,
31/08/15,1,,,,
01/09/15,1,,,,
02/09/15,1,,,,
03/09/15,1,,,,
04/09/15,1,1,,,
05/09/15,1,1,,,
06/09/15,1,1,,,
07/09/15,1,1,,,
08/09/15,1,1,,,
09/09/15,1,1,,,
10/09/15,1,1,,,
11/09/15,0,"0,8461538462",,,
12/09/15,0,"0,7159763314",,,
13/09/15,0,"0,6058261265",,,
14/09/15,0,"0,5126221071",,,
15/09/15,0,"0,4337571675",,,
16/09/15,0,"0,3670252956",,,
17/09/15,0,"0,3105598655",,,
18/09/15,0,"0,2627814247","0,6923076923","-0,4295262677",
19/09/15,0,"0,2223535132","0,641025641","-0,4186721279",
20/09/15,0,"0,1881452804","0,5935422602","-0,4053969798",
21/09/15,0,"0,1591998526","0,5495761669","-0,3903763142",
22/09/15,0,"0,1347075676","0,5088668212","-0,3741592536",
23/09/15,0,"0,1139833264","0,4711729826","-0,3571896561",
24/09/15,0,"0,0964474301","0,4362712801","-0,3398238501",
25/09/15,0,"0,0816093639","0,403954889","-0,3223455251",
26/09/15,0,"0,0690540771","0,3740323047","-0,3049782275","-0,3713853558"
27/09/15,0,"0,058430373","0,346326208","-0,287895835","-0,355648641"
28/09/15,0,"0,0494410848","0,3206724148","-0,27123133","-0,3392663302"
29/09/15,0,"0,0418347641","0,2969189026","-0,2550841385","-0,3225649034"
30/09/15,0,"0,0353986465","0,2749249098","-0,2395262633","-0,3058037866"
01/10/15,0,"0,0299527009","0,2545601017","-0,2246074008","-0,2891869141"
02/10/15,0,"0,0253445931","0,2357037979","-0,2103592048","-0,2728724195"
03/10/15,0,"0,0214454249","0,2182442573","-0,1967988324","-0,2569807508"
04/10/15,0,"0,0181461288","0,202078016","-0,1839318872","-0,2416014577"
05/10/15,0,"0,0153544167","0,1871092741","-0,1717548574","-0,2267988611"
06/10/15,0,"0,0129921987","0,1732493278","-0,1602571291","-0,2126167826"
07/10/15,0,"0,0109933989","0,1604160443","-0,1494226454","-0,1990824843"
08/10/15,0,"0,0093021068","0,1485333744","-0,1392312676","-0,1862099431"
09/10/15,0,"0,0078710134","0,1375309022","-0,1296598888","-0,1740025682"
10/10/15,0,"0,0066600883","0,1273434279","-0,1206833397","-0,1624554503"
11/10/15,0,"0,0056354593","0,1179105814","-0,1122751221","-0,1515572189"
12/10/15,0,"0,0047684656","0,1091764643","-0,1044079987","-0,1412915707"
13/10/15,0,"0,0040348555","0,1010893188","-0,0970544633","-0,1316385236"
14/10/15,0,"0,0034141085","0,0936012211","-0,0901871126","-0,1225754408"
15/10/15,0,"0,002888861","0,0866677973","-0,0837789363","-0,1140778638"
16/10/15,0,"0,0024444209","0,0802479605","-0,0778035396","-0,1061201854"
17/10/15,0,"0,0020683561","0,0743036671","-0,072235311","-0,0986761902"
18/10/15,0,"0,0017501475","0,0687996918","-0,0670495443","-0,0917194853"
19/10/15,0,"0,001480894","0,0637034183","-0,0622225243","-0,0852238391"
20/10/15,0,"0,0012530642","0,0589846466","-0,0577315824","-0,0791634458"
21/10/15,0,"0,0010602851","0,0546154135","-0,0535551284","-0,0735131269"
22/10/15,0,"0,0008971643","0,0505698273","-0,049672663","-0,0682484824"
23/10/15,0,"0,000759139","0,0468239142","-0,0460647752","-0,0633460005"
24/10/15,0,"0,0006423484","0,0433554761","-0,0427131277","-0,0587831329"
25/10/15,0,"0,0005435256","0,0401439593","-0,0396004338","-0,0545383433"
26/10/15,0,"0,0004599062","0,0371703327","-0,0367104265","-0,0505911339"
27/10/15,0,"0,0003891514","0,0344169747","-0,0340278233","-0,0469220538"
28/10/15,0,"0,000329282","0,0318675692","-0,0315382872","-0,0435126942"
29/10/15,1,"0,1541247771","0,1035810826","0,0505436945","-0,0314821078"
30/10/15,0,"0,1304132729","0,0959084098","0,0345048631","-0,0216976643"
31/10/15,0,"0,1103496925","0,0888040832","0,0215456093","-0,013784523"
01/11/15,0,"0,0933728167","0,0822260029","0,0111468138","-0,0074276798"
02/11/15,0,"0,079007768","0,0761351879","0,0028725801","-0,0023626011"
03/11/15,0,"0,0668527267","0,0704955443","-0,0036428176","0,0016326896"
04/11/15,0,"0,0565676919","0,0652736522","-0,0087059603","0,0047442969"
05/11/15,0,"0,04786497","0,0604385668","-0,0125735968","0,0071280999"
06/11/15,0,"0,0405011285","0,055961636","-0,0154605075","0,0089145198"
07/11/15,0,"0,0342701856","0,0518163296","-0,0175461439","0,0013489822"
08/11/15,0,"0,0289978494","0,0479780829","-0,0189802336","-0,0045938063"
09/11/15,0,"0,0245366418","0,0444241509","-0,0198875091","-0,0091974861"
10/11/15,0,"0,0207617738","0,041133473","-0,0203716992","-0,0126995431"
11/11/15,0,"0,0175676548","0,0380865491","-0,0205188943","-0,0152985958"
12/11/15,0,"0,0148649387","0,0352653232","-0,0204003846","-0,0171605477"
13/11/15,0,"0,012578025","0,0326530771","-0,0200750521","-0,0184237801"
14/11/15,0,"0,0106429442","0,0302343306","-0,0195913864","-0,0192035345"
15/11/15,0,"0,0090055682","0,0279947506","-0,0189891824","-0,0195956095"
16/11/15,0,"0,0076200962","0,0259210654","-0,0183009692","-0,019679479"
17/11/15,0,"0,0064477737","0,0240009864","-0,0175532128","-0,0195209211"
18/11/15,0,"0,0054558085","0,0222231356","-0,0167673271","-0,0191742342"
19/11/15,0,"0,0046164533","0,0205769774","-0,0159605241","-0,0186841036"
20/11/15,0,"0,0039062298","0,0190527569","-0,0151465271","-0,018087174"
21/11/15,0,"0,0033052713","0,0176414415","-0,0143361702","-0,0174133724"
22/11/15,0,"0,0027967681","0,0163346681","-0,0135379","-0,0166870221"
23/11/15,0,"0,002366496","0,0151246927","-0,0127581966","-0,0159277788"
24/11/15,0,"0,0020024197","0,0140043451","-0,0120019253","-0,0151514169"
25/11/15,0,"0,0016943552","0,0129669862","-0,011272631","-0,0143704905"
26/11/15,0,"0,0014336851","0,0120064687","-0,0105727835","-0,0135948872"
27/11/15,0,"0,0012131182","0,0111171006","-0,0099039824","-0,0128322934"
28/11/15,0,"0,0010264846","0,0102936117","-0,0092671271","-0,0120885826"
29/11/15,0,"0,0008685639","0,0095311219","-0,008662558","-0,0113681416"
30/11/15,0,"0,0007349387","0,0088251129","-0,0080901742","-0,010674142"
01/12/15,0,"0,0006218712","0,0081714008","-0,0075495296","-0,0100087675"
02/12/15,0,"0,0005261987","0,0075661119","-0,0070399132","-0,0093734027"
03/12/15,0,"0,0004452451","0,0070056592","-0,0065604141","-0,0087687904"
04/12/15,0,"0,0003767458","0,0064867214","-0,0061099756","-0,008195162"
05/12/15,0,"0,0003187849","0,0060062236","-0,0056874386","-0,0076523459"
06/12/15,0,"0,0002697411","0,0055613181","-0,005291577","-0,0071398564"
07/12/15,0,"0,0002282425","0,0051493686","-0,0049211262","-0,0066569674"
08/12/15,0,"0,0001931282","0,0047679339","-0,0045748057","-0,0062027727"
09/12/15,0,"0,0001634162","0,0044147536","-0,0042513374","-0,0057762353"
10/12/15,0,"0,0001382752","0,0040877348","-0,0039494596","-0,0053762275"
11/12/15,0,"0,0001170021","0,0037849397","-0,0036679375","-0,0050015635"
12/12/15,0,"9,90018036691925E-05","0,0035045738","-0,003405572","-0,0046510255"
13/12/15,0,"8,37707569508552E-05","0,0032449757","-0,0031612049","-0,0043233843"
14/12/15,0,"7,08829481891851E-05","0,0030046071","-0,0029337242","-0,004017416"
15/12/15,0,"5,99778792370028E-05","0,0027820436","-0,0027220658","-0,0037319148"
16/12/15,0,"5,07505132005409E-05","0,0025759663","-0,0025252158","-0,0034657025"
17/12/15,0,"4,29427419389192E-05","0,002385154","-0,0023422113","-0,0032176365"
18/12/15,0,"3,63361662560085E-05","0,0022084759","-0,0021721398","-0,0029866145"
19/12/15,0,"0,000030746","0,0020448851","-0,0020141391","-0,0027715789"
20/12/15,0,"2,60158350116984E-05","0,0018934122","-0,0018673963","-0,0025715188"
21/12/15,0,"2,20133988560525E-05","0,0017531594","-0,001731146","-0,0023854715"
22/12/15,0,"1,86267221089675E-05","0,0016232957","-0,001604669","-0,002212523"
23/12/15,0,"1,57610725537417E-05","0,0015030516","-0,0014872905","-0,0020518082"
24/12/15,0,"1,33362921608584E-05","0,0013917145","-0,0013783782","-0,0019025096"
25/12/15,0,"1,12845549053417E-05","0,0012886245","-0,0012773399","-0,0017638567"
26/12/15,0,"9,54846953528915E-06","0,0011931708","-0,0011836224","-0,0016351246"
27/12/15,0,"8,07947422216774E-06","0,0011047878","-0,0010967083","-0,0015156322"
28/12/15,0,"6,83647818798809E-06","0,0010229517","-0,0010161152","-0,0014047407"
29/12/15,0,"5,784712312913E-06","0,0009471775","-0,0009413928","-0,0013018514"
30/12/15,0,"4,89475657246484E-06","0,0008770162","-0,0008721214","-0,0012064042"
31/12/15,0,"4,14171709977794E-06","0,000812052","-0,0008079103","-0,0011178754"
01/01/16,0,"3,50452985365826E-06","0,0007519","-0,0007483955","-0,001035776"
02/01/16,0,"2,96537141463391E-06","0,0006962037","-0,0006932383","-0,0009596494"
03/01/16,0,"2,50916042776716E-06","0,0006446331","-0,0006421239","-0,0008890698"
04/01/16,0,"2,12313574657221E-06","0,0005968825","-0,0005947593","-0,0008236406"
05/01/16,0,"1,79649947786879E-06","0,000552669","-0,0005508725","-0,0007629921"
06/01/16,0,"1,52011494281206E-06","0,0005117305","-0,0005102104","-0,0007067805"
07/01/16,0,"1,28625110545635E-06","0,0004738246","-0,0004725383","-0,0006546856"
08/01/16,0,"1,08836632000153E-06","0,0004387264","-0,0004376381","-0,0006064096"
09/01/16,0,"9,20925347693603E-07","0,0004062282","-0,0004053073","-0,000561676"
10/01/16,0,"7,7924452497151E-07","0,0003761372","-0,000375358","-0,0005202273"
11/01/16,0,"6,5936075189897E-07","0,0003482752","-0,0003476158","-0,0004818248"
12/01/16,1,"0,1538467118","0,0743965511","0,0794501607","0,0084173179"
13/01/16,1,"0,2840241407","0,1429597695","0,1410643712","0,0241572213"
14/01/16,1,"0,3941742729","0,2064442311","0,1877300419","0,0450773229"
15/01/16,1,"0,4873782309","0,2652261399","0,2221520911","0,0698175786"
16/01/16,1,"0,5662431185","0,3196538332","0,2465892853","0,0972688923"
17/01/16,1,"0,6329749464","0,3700498456","0,2629251008","0,1265314189"
18/01/16,1,"0,6894403393","0,41671282","0,2727275193","0,1568795107"
19/01/16,1,"0,7372187486","0,4599192777","0,2772994709","0,1877322695"
20/01/16,1,"0,7776466334","0,4999252572","0,2777213763","0,2186288241"
21/01/16,1,"0,8118548437","0,5369678307","0,274887013","0,24034403"
22/01/16,1,"0,8408002523","0,5712665099","0,2695337424","0,2546184045"
23/01/16,1,"0,8652925212","0,6030245462","0,262267975","0,2629003971"
24/01/16,1,"0,8860167487","0,6324301354","0,2535866133","0,2663931218"
25/01/16,2,"1,0573987874","0,7337316068","0,3236671805","0,2749573324"
26/01/16,2,"1,2024143586","0,8275292656","0,374885093","0,2873973315"
27/01/16,2,"1,3251198419","0,9143789496","0,4107408922","0,3027321507"
28/01/16,2,"1,4289475585","0,9947953237","0,4341522348","0,3201602356"
29/01/16,2,"1,5168017803","1,0692549294","0,4475468509","0,3390297328"
30/01/16,2,"1,5911399679","1,1381990087","0,4529409592","0,3588135046"
31/01/16,2,"1,6540415113","1,2020361192","0,4520053922","0,3790881323"
01/02/16,2,"1,7072658942","1,2611445548","0,4461213394","0,3995162839"
02/02/16,2,"1,7523019105","1,3158745878","0,4364273227","0,4198319183"
03/02/16,2,"1,7904093089","1,3665505442","0,4238587646","0,4309643166"
04/02/16,2,"1,8226540306","1,4134727261","0,4091813044","0,4347750067"
05/02/16,2,"1,8499380259","1,4569191909","0,393018835","0,4328058893"
06/02/16,2,"1,8730244834","1,4971473989","0,3758770845","0,4263308726"
07/02/16,2,"1,8925591783","1,5343957398","0,3581634385","0,4163993823"
08/02/16,2,"1,9090885355","1,5688849442","0,3402035912","0,4038730081"
09/02/16,3,"2,0769210685","1,6748934669","0,4020276016","0,3983199202"
10/02/16,3,"2,2189332118","1,7730495064","0,4458837054","0,3982935165"
11/02/16,5,"2,6467896407","2,0120828763","0,6347067645","0,4203245655"
12/02/16,4,"2,8549758499","2,1593359965","0,6956398533","0,4505224643"
13/02/16,4,"3,0311334114","2,2956814783","0,7354519331","0,4867747564"
14/02/16,4,"3,1801898097","2,4219272947","0,758262515","0,5273573875"
15/02/16,4,"3,3063144543","2,5388215692","0,7674928852","0,5708702542"
16/02/16,3,"3,2591891537","2,5729829344","0,6862062192","0,6073194521"
17/02/16,3,"3,2193138993","2,6046138282","0,6147000711","0,6378190609"
18/02/16,3,"3,1855732994","2,6339016927","0,5516716066","0,6544461726"
19/02/16,4,"3,3108697149","2,7350941599","0,5757755549","0,6688786003"
20/02/16,3,"3,2630436049","2,7547168148","0,5083267901","0,654836381"
21/02/16,4,"3,3764215118","2,8469600137","0,5294614981","0,6363721193"
22/02/16,5,"3,6262028177","3,0064444571","0,6197583606","0,6235172779"
23/02/16,5,"3,8375562304","3,1541152381","0,6834409923","0,6152037754"
24/02/16,5,"4,0163937334","3,2908474426","0,7255462907","0,6105430426"
25/02/16,5,"4,1677177744","3,4174513358","0,7502664386","0,6176608448"
26/02/16,5,"4,2957611937","3,5346771628","0,761084031","0,6339257292"
27/02/16,5,"4,4041056255","3,6432195952","0,7608860303","0,6571717763"
28/02/16,5,"4,4957816831","3,7437218474","0,7520598357","0,6767589186"
29/02/16,5,"4,5733537318","3,8367794883","0,7365742435","0,7021197468"
01/03/16,6,"4,7928377731","3,9970180447","0,7958197284","0,7317151057"
02/03/16,7,"5,1324011926","4,2194611525","0,9129400401","0,7642908478"
03/03/16,8,"5,5735702399","4,4995010671","1,0740691728","0,807693979"
04/03/16,9,"6,1007132799","4,8328713585","1,2678419215","0,8679490491"
05/03/16,9,"6,5467573907","5,1415475541","1,4052098366","0,9407205377"
06/03/16,10,"7,0780254844","5,5014329205","1,5765925639","1,031332597"
07/03/16,8,"7,2198677176","5,6865119634","1,5333557542","1,1171625663"
08/03/16,8,"7,3398880687","5,8578814476","1,4820066211","1,1982677647"
09/03/16,10,"7,7491360582","6,1647050441","1,5844310141","1,2924740725"
10/03/16,10,"8,0954228184","6,4488009667","1,6466218517","1,3870076418"
11/03/16,9,"8,2345885387","6,6377786729","1,5968098658","1,462993178"
12/03/16,11,"8,6600364558","6,9609061786","1,6991302772","1,5324444118"
13/03/16,12,"9,1738770011","7,3341723876","1,8397046135","1,5959847109"
14/03/16,11,"9,4548190009","7,6057151737","1,8491038272","1,6453062654"
15/03/16,11,"9,6925391546","7,8571436794","1,8353954752","1,6740621444"
16/03/16,11,"9,893686977","8,0899478513","1,8037391257","1,7041047413"
17/03/16,9,"9,7561966728","8,1573591215","1,5988375513","1,7170859557"
18/03/16,9,"9,6398587232","8,2197769644","1,4200817588","1,6988249274"
19/03/16,9,"9,5414189196","8,2775712633","1,2638476563","1,6562944612"
20/03/16,9,"9,4581237012","8,3310845031","1,1270391981","1,6040977204"
21/03/16,10,"9,5414892856","8,4547078732","1,0867814124","1,5360589576"
22/03/16,9,"9,4581832417","8,4950998826","0,9630833591","1,438656596"
23/03/16,11,"9,6953858199","8,6806480395","1,0147377804","1,3459492575"
24/03/16,10,"9,7422495399","8,7783778143","0,9638717256","1,2491132853"
25/03/16,9,"9,628057303","8,7947942725","0,8332630305","1,141282608"
26/03/16,9,"9,5314331025","8,8099946968","0,7214384058","1,0437938141"
27/03/16,9,"9,4496741637","8,8240691637","0,625605","0,9555186187"
28/03/16,10,"9,534339677","8,9111751516","0,6231645254","0,8843316041"
29/03/16,10,"9,6059797267","8,991828844","0,6141508826","0,8273440135"
30/03/16,10,"9,6665982303","9,0665081889","0,6000900413","0,7732671945"
31/03/16,10,"9,7178908102","9,1356557305","0,5822350797","0,730950719"
01/04/16,10,"9,761292224","9,1996812319","0,5616109921","0,6806032981"
02/04/16,10,"9,7980164973","9,2589641036","0,5390523936","0,6334011501"
03/04/16,10,"9,8290908823","9,3138556515","0,5152352308","0,5980647279"
04/04/16,9,"9,7015384389","9,2906070847","0,4109313541","0,5635639444"
05/04/16,9,"9,5936094483","9,269080634","0,3245288143","0,5301110349"
06/04/16,9,"9,5022849178","9,2491487352","0,2531361826","0,4889967746"
07/04/16,8,"9,2711641612","9,1566191993","0,1145449619","0,4334850056"
08/04/16,8,"9,0756004441","9,070943703","0,0046567411","0,36732575"
09/04/16,8,"8,9101234527","8,9916145398","-0,0814910871","0,2935783981"
10/04/16,7,"8,6162583061","8,8440875369","-0,2278292308","0,2058628178"
11/04/16,7,"8,3676031821","8,7074884601","-0,339885278","0,1082030765"
12/04/16,6,"8,0033565387","8,5069337593","-0,5035772206","-0,004998307"
13/04/16,7,"7,8489939943","8,3953090364","-0,5463150421","-0,1113590176"
14/04/16,7,"7,7183795336","8,2919528115","-0,5735732779","-0,211148139"
15/04/16,7,"7,6078596054","8,1962526032","-0,5883929979","-0,3046513813"
16/04/16,7,"7,514342743","8,1076412993","-0,5932985563","-0,3833006611"
17/04/16,8,"7,5890592441","8,0996678697","-0,5106086256","-0,4405523685"
18/04/16,8,"7,6522808988","8,0922850646","-0,4400041657","-0,480387155"
19/04/16,7,"7,5519299913","8,0113750598","-0,4594450684","-0,5061222481"
20/04/16,7,"7,467017685","7,9364583887","-0,4694407037","-0,5205172954"
21/04/16,7,"7,3951688104","7,8670911006","-0,4719222903","-0,5170000809"
22/04/16,6,"7,1805274549","7,7287880561","-0,5482606012","-0,5172162541"
23/04/16,7,"7,1527540003","7,6748037557","-0,5220497554","-0,5114914183"
24/04/16,7,"7,1292533849","7,6248182923","-0,4955649074","-0,501177186"
25/04/16,6,"6,9555220949","7,5044613818","-0,5489392869","-0,4962483783"
26/04/16,6,"6,8085186957","7,3930197979","-0,5845011022","-0,5044586535"
27/04/16,6,"6,684131204","7,2898331462","-0,6057019422","-0,5228695175"
28/04/16,6,"6,5788802496","7,1942899502","-0,6154097006","-0,5401989211"
29/04/16,6,"6,4898217496","7,105824028","-0,6160022783","-0,5564835405"
30/04/16,7,"6,5683107112","7,0979852111","-0,5296744999","-0,5629004527"
01/05/16,7,"6,634724448","7,0907270473","-0,4560025993","-0,5526495636"
02/05/16,8,"6,8447668406","7,1580805994","-0,3133137588","-0,5294566751"
03/05/16,8,"7,022495019","7,2204449994","-0,1979499804","-0,4963883498"
04/05/16,8,"7,1728804007","7,2781898143","-0,1053094136","-0,4470961417"
